accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	full_authors	institution	url	ORF2_type	ORF1_type	coverage	cdsCoverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	3CLpro_coverage	NTPase_coverage	p22_coverage	p48_coverage	RdRp_coverage	VP1_coverage	VP2_coverage	VPg_coverage	VP1_nextclade	VP1_group	VP1_type	VP1_variant	RdRp_nextclade	RdRp_group	RdRp_type	RdRp_variant
KT780403	KT780403.1	CUHK-NS-574	2015-XX-XX	Asia	Hong Kong			7559	Homo sapiens		2015-11-29	2016-03-08		Chan et al.	"Chan,M.C.,Lee,N.,Hung,T.N.,Kwok,K.,Cheung,K.,Tin,E.K.,Lai,R.W.,Nelson,E.A.,Leung,T.F.,Chan,P.K.,Chan,M.C.W.,Hung,T.T.N.,Kwok,K.T.T.,Cheung,K.K.W.,Chan,P.K.S."	"The Chinese University of Hong Kong, Department of Microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/KT780403	GII.17	GII.P17	0.9995999466595548	"3CLpro:1,NTPase:1,ORF1:0.9929411764705882,RdRp:1,VP1:0.9704251386321626,VP2:0.9132075471698113,VPg:1,p22:0.9378531073446328,p48:0.9969879518072289"	0	1945	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:189-201"	1	1	0.9378531073446328	0.9969879518072289	1	0.9704251386321626	0.9132075471698113	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
KT970369	KT970369.1	Hu/Guangzhou/GZ2014-L311/CHN/2014	2014-12-29	Asia	China			7495	Homo sapiens		2015-11-12	2015-11-12		Xue et al.	"Xue,L.,Wu,Q.,Kou,X.,Cai,W.,Zhang,J.,Guo,W."	"Guangdong Institute of Microbiology, State Key Laboratory of Applied Microbiology Southern China"	https://www.ncbi.nlm.nih.gov/nuccore/KT970369	GII.17	GII.P17	0.9998666488865182	"3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.9704251386321626,VP2:0.9471698113207547,VPg:1,p22:0.9378531073446328,p48:1"	1	1949	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:189-201"	1	1	0.9378531073446328	1	1	0.9704251386321626	0.9471698113207547	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
KU557788	KU557788.1	Hu/GII.17/2238/GD-JM/2013-08-30	2013-08-30	Asia	China			7497	Homo sapiens		2016-08-03	2016-08-03		Lu et al.	"Lu,J.,Li,H."	Guangdong Provincial Center for Disease Control and Prevention	https://www.ncbi.nlm.nih.gov/nuccore/KU557788	GII.17	GII.P17	0.9997332977730364	"3CLpro:1,NTPase:1,ORF1:0.9929411764705882,RdRp:1,VP1:0.9926062846580407,VP2:0.9547169811320755,VPg:1,p22:0.9378531073446328,p48:0.9969879518072289"	0	1974	0						"ORF1:852-860,p22:154-162,VP1:394-397,VP2:191-201"	1	1	0.9378531073446328	0.9969879518072289	1	0.9926062846580407	0.9547169811320755	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
KR154231	KR154231.1	Hu/GII.17/CGMH70/2015/TW	2015-XX-XX	Asia	Taiwan			7551	Homo sapiens		2015-10-04	2015-10-04		Lee et al.	"Lee,C.C.,Feng,Y.,Chen,S.Y.,Tsai,C.N.,Lai,M.W.,Chiu,C.H.,Wang,W.L."	"Chang Gung University, Graduate Institute of Clinical Medical Science, College of Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/KR154231	GII.17	GII.P17	0.9991998933191092	"3CLpro:1,NTPase:1,ORF1:0.9923529411764705,RdRp:1,VP1:0.9704251386321626,VP2:0.9547169811320755,VPg:1,p22:0.9378531073446328,p48:0.9939759036144579"	0	1960	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:191-201"	1	1	0.9378531073446328	0.9939759036144579	1	0.9704251386321626	0.9547169811320755	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MN394542	MN394542.1	34	2019-04-01	Asia	China	Changsha		7532	Homo sapiens		2019-09-04	2019-09-04		Huang et al.	"Huang,Z.,Xiao,S.,Ou,X."	"Changsha Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/MN394542	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9722735674676525,VP2:0.909433962264151,VPg:1,p22:1,p48:1"	0	992	0						"VP1:293-306,VP2:139-149"	1	1	1	1	1	0.9722735674676525	0.909433962	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MT158851	MT158851.1	8-GII.P16-GII.2	2019-03-15	Asia	China			7488	Homo sapiens		2021-04-08	2021-04-08		Li et al.	"Li,Q.,Yao,P.,Jiang,J.,Mao,X.,Wang,F.,Zhang,W."	"Shanghai Public Health Clinical Center, Performance management office"	https://www.ncbi.nlm.nih.gov/nuccore/MT158851	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9926062846580407,VP2:1,VPg:1,p22:1,p48:1"	0	959	0						VP1:293-294	1	1	1	1	1	0.9926062846580407	1	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MT158856	MT158856.1	43-GII.P16-GII.2	2018-10-31	Asia	China			7488	Homo sapiens		2021-04-08	2021-04-08		Li et al.	"Li,Q.,Yao,P.,Jiang,J.,Mao,X.,Wang,F.,Zhang,W."	"Shanghai Public Health Clinical Center, Performance management office"	https://www.ncbi.nlm.nih.gov/nuccore/MT158856	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9648798521256932,VP2:0.969811320754717,VPg:1,p22:1,p48:1"	0	925	0						"VP1:293-306,VP1:338-340,VP2:139-146"	1	1	1	1	1	0.9648798521256932	0.969811321	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MT738527	MT738527.1	Hu/US/2019/GII.2[P16]/CA-RGDS-1097	2019-09-XX	North America	USA	California		7550	Homo sapiens		2020-07-14	2020-07-14		Pan et al.	"Pan,C.-Y.,Huynh,T.,Padilla,T.,Montmayeur,A.M.,Chhabra,P.,Barclay,L.,Vinje,J.,Morales,C."	"California Department of Public Health, Viral and Rickettsial Disease Laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/MT738527	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9574861367837338,VP2:0.969811320754717,VPg:1,p22:1,p48:1"	0	938	0						"VP1:293-306,VP1:337-342,VP2:139-146"	1	1	1	1	1	0.9574861367837338	0.969811321	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MG745993	MG745993.1	GZ2043	2017-01-10	Asia	China			7536	Homo sapiens		2018-04-06	2018-04-06		Ao et al.	"Ao,Y.,Cong,X.,Jin,M.,Sun,X.,Wei,X.,Wang,J.,Zhang,Q.,Song,J.,Yu,J.,Cui,J.,Qi,J.,Tan,M.,Duan,Z."	"National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Diarrhea"	https://www.ncbi.nlm.nih.gov/nuccore/MG745993	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9722735674676525,VP2:0.969811320754717,VPg:1,p22:1,p48:1"	0	912	0						"VP1:293-306,VP2:139-146"	1	1	1	1	1	0.9722735674676525	0.969811321	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MG746019	MG746019.1	JNCH8	2017-05-20	Asia	China			7536	Homo sapiens		2018-04-06	2018-04-06		Ao et al.	"Ao,Y.,Cong,X.,Jin,M.,Sun,X.,Wei,X.,Wang,J.,Zhang,Q.,Song,J.,Yu,J.,Cui,J.,Qi,J.,Tan,M.,Duan,Z."	"National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Diarrhea"	https://www.ncbi.nlm.nih.gov/nuccore/MG746019	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9722735674676525,VP2:0.969811320754717,VPg:1,p22:1,p48:1"	0	912	0						"VP1:293-306,VP2:139-146"	1	1	1	1	1	0.9722735674676525	0.969811321	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MG746024	MG746024.1	HNLD01	2017-04-06	Asia	China			7536	Homo sapiens		2018-04-06	2018-04-06		Ao et al.	"Ao,Y.,Cong,X.,Jin,M.,Sun,X.,Wei,X.,Wang,J.,Zhang,Q.,Song,J.,Yu,J.,Cui,J.,Qi,J.,Tan,M.,Duan,Z."	"National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Diarrhea"	https://www.ncbi.nlm.nih.gov/nuccore/MG746024	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9685767097966729,VP2:0.9735849056603774,VPg:1,p22:1,p48:1"	0	924	0						"VP1:291-306,VP2:140-146"	1	1	1	1	1	0.9685767097966729	0.9735849056603774	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MG746036	MG746036.1	SZ190	2016-11-25	Asia	China			7536	Homo sapiens		2018-04-06	2018-04-06		Ao et al.	"Ao,Y.,Cong,X.,Jin,M.,Sun,X.,Wei,X.,Wang,J.,Zhang,Q.,Song,J.,Yu,J.,Cui,J.,Qi,J.,Tan,M.,Duan,Z."	"National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Viral Diarrhea"	https://www.ncbi.nlm.nih.gov/nuccore/MG746036	GII.2	GII.P16	1	"3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.9722735674676525,VP2:0.969811320754717,VPg:1,p22:1,p48:1"	0	898	0						"VP1:293-306,VP2:139-146"	1	1	1	1	1	0.9722735674676525	0.969811321	1	GII.2	GII	GII.2		GII.P16	GII	GII.P16	
MH218648	MH218648.1	NORO_180_01_09_2015	2015-09-01	Europe	United Kingdom			7543	Homo sapiens		2018-06-11	2018-06-11		Brown et al.	"Brown,J.R.,Roy,S.,Shah,D.,Williams,C.A.,Williams,R.,Dunn,H.,Hartley,J.,Harris,K.,Breuer,J."	"University College London, Division of Infection and Immunity"	https://www.ncbi.nlm.nih.gov/nuccore/MH218648	GII.2	GII.P31 (GII.Pe)	0.9343912521669556	"3CLpro:1,NTPase:1,ORF1:0.9035294117647059,RdRp:1,VP1:1,VP2:0.9245283018867925,VPg:0.47368421052631576,p22:0.4689265536723164,p48:1"	492	1827	0						"VP2:139-149,VP2:186-190"	1	1	0.4689265536723164	1	1	1	0.9245283018867925	0.47368421052631576	GII.2	GII	GII.2		GII.P31 (GII.Pe)	GII	GII.P31	
MH218657	MH218657.1	NORO_196_18_10_2015	2015-10-18	Europe	United Kingdom			7497	Homo sapiens		2018-06-11	2018-06-11		Brown et al.	"Brown,J.R.,Roy,S.,Shah,D.,Williams,C.A.,Williams,R.,Dunn,H.,Hartley,J.,Harris,K.,Breuer,J."	"University College London, Division of Infection and Immunity"	https://www.ncbi.nlm.nih.gov/nuccore/MH218657	GII.2	GII.P31 (GII.Pe)	1	"3CLpro:1,NTPase:1,ORF1:0.9976470588235294,RdRp:1,VP1:0.9611829944547134,VP2:0.9471698113207547,VPg:1,p22:0.9774011299435028,p48:1"	0	1964	0						"ORF1:858-860,p22:160-162,VP1:293-309,VP1:338-340,VP2:139-152"	1	1	0.9774011299435028	1	1	0.9611829944547134	0.9471698113207547	1	GII.2	GII	GII.2		GII.P31 (GII.Pe)	GII	GII.P31	
MH218697	MH218697.1	NORO_34-7_30_10_2015	2015-10-30	Europe	United Kingdom			7545	Homo sapiens		2018-06-11	2018-06-11		Brown et al.	"Brown,J.R.,Roy,S.,Shah,D.,Williams,C.A.,Williams,R.,Dunn,H.,Hartley,J.,Harris,K.,Breuer,J."	"University College London, Division of Infection and Immunity"	https://www.ncbi.nlm.nih.gov/nuccore/MH218697	GII.2	GII.P31 (GII.Pe)	1	"3CLpro:1,NTPase:1,ORF1:0.9964705882352941,RdRp:1,VP1:0.9611829944547134,VP2:0.9471698113207547,VPg:1,p22:0.9661016949152542,p48:1"	0	1942	0						"ORF1:857-860,p22:159-162,VP1:293-309,VP1:338-340,VP2:139-152"	1	1	0.9661016949152542	1	1	0.9611829944547134	0.9471698113207547	1	GII.2	GII	GII.2		GII.P31 (GII.Pe)	GII	GII.P31	
MH218733	MH218733.1	NORO_94_23_10_2014	2014-10-23	Europe	United Kingdom			7550	Homo sapiens		2018-06-11	2018-06-11		Brown et al.	"Brown,J.R.,Roy,S.,Shah,D.,Williams,C.A.,Williams,R.,Dunn,H.,Hartley,J.,Harris,K.,Breuer,J."	"University College London, Division of Infection and Immunity"	https://www.ncbi.nlm.nih.gov/nuccore/MH218733	GII.2	GII.P31 (GII.Pe)	1	"3CLpro:1,NTPase:1,ORF1:0.9964705882352941,RdRp:1,VP1:0.9611829944547134,VP2:0.909433962264151,VPg:1,p22:0.9661016949152542,p48:1"	0	1951	0						"ORF1:857-860,p22:159-162,VP1:293-309,VP1:338-340,VP2:139-149"	1	1	0.9661016949152542	1	1	0.9611829944547134	0.909433962	1	GII.2	GII	GII.2		GII.P31 (GII.Pe)	GII	GII.P31	
